type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
street_lamp,13.0053594,77.6258396,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '20', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0053687,77.626987,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '23', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,3rd Cross Road,Bengaluru
street_lamp,13.0054104,77.626877,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '23', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0054698,77.6267233,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '23', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0055476,77.6265223,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '23', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0056149,77.6263484,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '23', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0055711,77.6259264,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0057743,77.6260156,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0059115,77.6260686,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Wheeler Road Extension Cross,Bangalore
street_lamp,13.0060827,77.626141,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '110', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hutchins 6th Cross,Bangalore
street_lamp,13.0062239,77.6261954,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bangalore
street_lamp,13.0063459,77.6258973,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 6th Cross,Bengaluru
street_lamp,13.0060662,77.6257891,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0058699,77.6257146,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0056232,77.6256212,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,CK Garden,Bengaluru
street_lamp,13.0055642,77.6254341,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Wheeler Road Extension,Bangalore
street_lamp,13.0055121,77.625579,"{'guyed': 'pole', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,CK Garden,Bengaluru
surveillance,13.0034079,77.5712891,"{'camera:direction': '180', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'operator': 'BBMP', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,Sampige Road,Bengaluru
surveillance,13.0033792,77.5712975,"{'camera:direction': '90', 'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'operator': 'BBMP', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,4,0.26,Sampige Road,Bengaluru
surveillance,13.0037116,77.6214714,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'building', 'survey:date': '2023-09-21'}",5,0,1,1,0.44,Davis Road,Bengaluru
street_lamp,13.006134,77.6247954,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '24', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,"Hutchins 5th Cross ""B"" Street",Bangalore
street_lamp,13.0065784,77.6237104,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '22', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,5th Cross Chico Square,Bengaluru
street_lamp,13.0066763,77.6234578,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '22', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,,Bengaluru
street_lamp,13.0067392,77.6232956,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '22', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 5th Cross,Bangalore
street_lamp,13.0068055,77.6231246,"{'guyed': 'pole', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '22', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 5th Cross,Bangalore
street_lamp,13.0065836,77.6256226,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hutchins 6th Cross,Bengaluru
street_lamp,13.0067456,77.6256934,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Wheeler Road Extension,Bangalore
street_lamp,13.0059205,77.626937,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bangalore
street_lamp,13.005841,77.6271314,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hutchins 6th Cross,Bangalore
street_lamp,13.0060107,77.6267165,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bengaluru
street_lamp,13.006115,77.6264615,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bangalore
street_lamp,13.0064135,77.6257221,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bengaluru
surveillance,12.9752851,77.607796,"{'camera:direction': '280', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9836169,77.5948276,"{'camera:direction': '280', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,2,0.38,Infantry Road,Bengaluru
surveillance,12.9954394,77.5663801,"{'camera:direction': '0', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,2,0.38,,Bengaluru
surveillance,13.0044414,77.5612658,"{'camera:direction': '280', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'traffic'}",5,0,1,1,0.44,1st Main Road,Bengaluru
street_lamp,13.0073136,77.6243245,"{'highway': 'street_lamp', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0071927,77.6242688,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0074204,77.6243697,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hutchins Main Road,Bengaluru
street_lamp,13.0070329,77.6246372,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0071727,77.6246938,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,"Hutchins 5th Cross ""A"" Street",Bengaluru
street_lamp,13.0067046,77.6249535,"{'guyed': 'pole', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 6th Cross,Bangalore
street_lamp,13.006893,77.6250244,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,Hutchins 6th Cross,Bengaluru
street_lamp,13.007028,77.6250742,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 6th Cross,Bengaluru
street_lamp,13.0066126,77.625192,"{'guyed': 'pole', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bangalore
street_lamp,13.0068352,77.625277,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hutchins 6th Cross,Bengaluru
street_lamp,13.0069478,77.6253188,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '290', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'termination', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 6th Cross,Bengaluru
street_lamp,13.0067759,77.6247664,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,"Hutchins 5th Cross ""B"" Street",Bangalore
street_lamp,13.0069461,77.6243335,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,0,0.7,"Hutchins 5th Cross ""A"" Street",Bengaluru
street_lamp,13.0071777,77.6237264,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hutchins 6th Cross,Bengaluru
street_lamp,13.0072326,77.6235775,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hutchins 6th Cross,Bengaluru
street_lamp,13.0073168,77.6233488,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hutchins 6th Cross,Bangalore
street_lamp,13.0073979,77.6231336,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,"Hutchins Road, 6th Cross",Bengaluru
street_lamp,13.0074893,77.6228888,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,"Hutchins Road, 6th Cross",Bengaluru
street_lamp,13.0075769,77.6226743,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,3,0.52,Hutchins 6th Cross,Bangalore
street_lamp,13.0076383,77.622514,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,2,0.58,Hutchins 6th Cross,Bangalore
street_lamp,13.0076814,77.6223993,"{'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'material': 'concrete', 'power': 'pole'}",10,0,0,1,0.64,Hutchins 6th Cross,Bangalore
street_lamp,13.0077399,77.6222501,"{'guyed': 'yes', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'incandescent', 'light:colour': 'yellow', 'light:direction': '200', 'light:tilt': '-90', 'line_attachment': 'suspension', 'line_management': 'branch', 'material': 'concrete', 'power': 'pole'}",10,0,0,4,0.46,Hutchins 6th Cross,Bangalore
surveillance,13.020921,77.6433487,"{'camera:direction': '286', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,0,0.5,,CMR Road
surveillance,13.020921,77.6433487,"{'camera:direction': '187', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,1,0.44,,CMR Road
surveillance,13.0139478,77.6425331,"{'camera:direction': '283', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,Nehru Road,Bengaluru
surveillance,13.0139478,77.6425331,"{'camera:direction': '8', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,Nehru Road,Bengaluru
surveillance,13.0139478,77.6425331,"{'camera:direction': '192', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,0,0.5,Nehru Road,Bengaluru
surveillance,13.0092782,77.6434619,"{'camera:direction': '223', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,3,0.32,,Banaswadi Main Road
surveillance,13.0092782,77.6434619,"{'camera:direction': '46', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,3,0.32,,Banaswadi Main Road
surveillance,13.0092782,77.6434619,"{'camera:direction': '234', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,0,0.5,,Banaswadi Main Road
surveillance,12.9541922,77.5901919,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,3,0.32,,Bengaluru
surveillance,12.9541922,77.5901919,"{'camera:direction': '20', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,0,0.5,,Bengaluru
surveillance,12.9541922,77.5901919,"{'camera:direction': '102', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9541922,77.5901919,"{'camera:direction': '300', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,0,0.5,,Bengaluru
surveillance,12.9885792,77.6171081,"{'camera:direction': '211', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,1,0.44,,Bengaluru
surveillance,12.9885792,77.6171081,"{'camera:direction': '121', 'camera:mount': 'pole', 'camera:type': 'panning', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,,Bengaluru
surveillance,12.9884542,77.6172299,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'operator': 'NETRA', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,2,0.38,,Bengaluru
surveillance,13.0091451,77.5590111,"{'camera:mount': 'pole', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,0,0.5,,Bengaluru
surveillance,13.0047199,77.5598982,"{'camera:direction': '51', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,4,0.26,10th Cross Road,Bengaluru
surveillance,13.0047196,77.5598871,"{'camera:direction': '339', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,10th Cross Road,Bengaluru
surveillance,13.0047056,77.5598839,"{'camera:direction': '212', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,0,0.5,10th Cross Road,Bengaluru
surveillance,13.0018101,77.5722184,"{'camera:direction': '359', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,3,0.32,11th Cross Road,Bengaluru
surveillance,12.989538,77.5777929,"{'camera:direction': '114', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,2,0.38,,Bengaluru
surveillance,12.9890675,77.5793514,"{'camera:direction': '334', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,3,0.32,North Park Road,Bengaluru
surveillance,12.9890257,77.5793658,"{'camera:direction': '158', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",5,0,1,3,0.32,North Park Road,Bengaluru
street_lamp,12.9815748,77.6398521,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'visible'}",10,0,0,3,0.52,7th Cross Road,Bengaluru
street_lamp,12.9794718,77.6372784,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,1,0.64,,Bengaluru
street_lamp,12.9795838,77.6372778,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'partially_obstructed'}",10,0,0,3,0.52,12th A Cross,Bengaluru
street_lamp,12.9815753,77.639663,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'visible'}",10,0,0,2,0.58,,Bengaluru
street_lamp,12.9817902,77.6396599,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'visible'}",10,0,0,4,0.46,7th Cross Road,Bengaluru
street_lamp,12.9820141,77.6396429,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'obstructed'}",10,0,0,3,0.52,,Bengaluru
street_lamp,12.9819667,77.6400921,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'partially_obstructed'}",10,0,0,1,0.64,6th Cross Road,Bengaluru
street_lamp,12.9792789,77.6383566,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'partially_obstructed'}",10,0,0,1,0.64,11th Cross,Bengaluru
street_lamp,12.9794806,77.6383529,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'partially_obstructed'}",10,0,0,0,0.7,11th Cross,Bengaluru
street_lamp,12.9784286,77.6400602,"{'direction': '179', 'highway': 'street_lamp', 'lamp_type': 'led', 'support': 'pole', 'visibility': 'Clear'}",10,0,0,2,0.58,,Bengaluru
street_lamp,12.9782581,77.6399648,"{'direction': '179', 'highway': 'street_lamp', 'lamp_type': 'LED', 'support': 'pole', 'visibility': 'clear'}",10,0,0,3,0.52,,Bengaluru
street_lamp,12.9783456,77.6401248,"{'direction': '180', 'highway': 'street_lamp', 'lamp_type': 'LED', 'support': 'pole', 'visibility': 'clear'}",10,0,0,3,0.52,,Bengaluru
street_lamp,12.9788568,77.6407503,"{'highway': 'street_lamp', 'lamp_mount': 'high_mast', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'obstructed'}",10,0,0,1,0.64,100 Feet Road,Bengaluru
street_lamp,12.9785111,77.6401797,"{'direction': '117', 'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,4,0.46,6th Cross Road,Bengaluru
